,C3_Synch,C3_Reic,C4_Synch,C4_Reic
LS401,2023-02-17 08:30:55.911000+00:00,2023-02-17 08:40:35.047000+00:00,2023-02-17 10:16:30.948000+00:00,2023-02-17 10:27:24.759000+00:00
LS405,2023-02-17 08:30:55.941000+00:00,2023-02-17 08:40:35.137000+00:00,2023-02-17 10:16:31.058000+00:00,2023-02-17 10:27:24.979000+00:00
LS406,2023-02-17 08:30:56.011000+00:00,2023-02-17 08:40:35.127000+00:00,2023-02-17 10:16:30.988000+00:00,2023-02-17 10:27:24.849000+00:00
LS407,2023-02-17 08:30:55.931000+00:00,2023-02-17 08:40:35.127000+00:00,2023-02-17 10:16:31.018000+00:00,2023-02-17 10:27:24.909000+00:00
LS408,2023-02-17 08:30:56.021000+00:00,2023-02-17 08:40:35.147000+00:00,2023-02-17 10:16:31.108000+00:00,2023-02-17 10:27:24.989000+00:00
VN101,2023-02-17 08:30:55.861000+00:00,2023-02-17 08:40:35.077000+00:00,2023-02-17 10:16:30.958000+00:00,2023-02-17 10:27:24.789000+00:00
VN102,2023-02-17 08:30:56.021000+00:00,2023-02-17 08:40:35.217000+00:00,2023-02-17 10:16:31.148000+00:00,2023-02-17 10:27:25.019000+00:00
VN103,2023-02-17 08:30:55.891000+00:00,2023-02-17 08:40:35.087000+00:00,2023-02-17 10:16:30.978000+00:00,2023-02-17 10:27:24.809000+00:00
VN104,2023-02-17 08:30:55.931000+00:00,2023-02-17 08:40:35.117000+00:00,2023-02-17 10:16:31.058000+00:00,2023-02-17 10:27:24.899000+00:00
VN105,2023-02-17 08:30:55.921000+00:00,2023-02-17 08:40:35.117000+00:00,2023-02-17 10:16:30.958000+00:00,2023-02-17 10:27:24.879000+00:00
VN106,2023-02-17 08:30:55.891000+00:00,2023-02-17 08:40:35.027000+00:00,2023-02-17 10:16:30.888000+00:00,2023-02-17 10:27:24.729000+00:00
VN107,2023-02-17 08:30:55.911000+00:00,2023-02-17 08:40:35.067000+00:00,2023-02-17 10:16:31.028000+00:00,2023-02-17 10:27:24.819000+00:00
VN108,2023-02-17 08:30:55.901000+00:00,2023-02-17 08:40:35.067000+00:00,2023-02-17 10:16:30.918000+00:00,2023-02-17 10:27:24.799000+00:00
