,C5_Synch,C5_Reic
VN102,2023-02-18 15:10:32.123000+00:00,2023-02-18 15:22:07.055000+00:00
VN107,2023-02-18 15:10:33.033000+00:00,2023-02-18 15:22:08.025000+00:00
VN106,2023-02-18 15:10:33.433000+00:00,2023-02-18 15:22:08.415000+00:00
VN108,2023-02-18 15:10:32.753000+00:00,2023-02-18 15:22:07.785000+00:00
VN101,2023-02-18 15:10:32.253000+00:00,2023-02-18 15:22:07.225000+00:00
VN105,2023-02-18 15:10:32.163000+00:00,2023-02-18 15:22:07.115000+00:00
VN103,2023-02-18 15:10:31.663000+00:00,2023-02-18 15:22:06.645000+00:00
VN104,2023-02-18 15:10:32.063000+00:00,2023-02-18 15:22:07.075000+00:00
VN205,2023-02-18 15:10:32.153000+00:00,2023-02-18 15:22:07.185000+00:00
VN203,2023-02-18 15:10:32.953000+00:00,2023-02-18 15:22:07.995000+00:00
VN202,2023-02-18 15:10:33.583000+00:00,2023-02-18 15:22:08.515000+00:00
VN206,2023-02-18 15:10:31.793000+00:00,2023-02-18 15:22:06.835000+00:00
VN209,2023-02-18 15:10:31.633000+00:00,2023-02-18 15:22:06.565000+00:00
VN210,2023-02-18 15:10:31.803000+00:00,
VN207,2023-02-18 15:10:32.753000+00:00,2023-02-18 15:22:07.775000+00:00
VN208,2023-02-18 15:10:30.723000+00:00,2023-02-18 15:22:05.745000+00:00
VN201,2023-02-18 15:10:31.533000+00:00,2023-02-18 15:22:06.575000+00:00
VN204,2023-02-18 15:10:33.753000+00:00,2023-02-18 15:22:08.745000+00:00
VA307,2023-02-18 15:10:31.893000+00:00,2023-02-18 15:22:06.935000+00:00
VA308,2023-02-18 15:10:31.503000+00:00,2023-02-18 15:22:06.565000+00:00
VA301,2023-02-18 15:10:31.663000+00:00,2023-02-18 15:22:06.625000+00:00
VA306,2023-02-18 15:10:32.653000+00:00,2023-02-18 15:22:07.685000+00:00
VA302,2023-02-18 15:10:33.233000+00:00,2023-02-18 15:22:08.215000+00:00
VA303,,2023-02-18 15:22:06.805000+00:00
VA304,2023-02-18 15:10:31.773000+00:00,2023-02-18 15:22:06.765000+00:00
LS406,2023-02-18 15:10:32.113000+00:00,2023-02-18 15:22:07.145000+00:00
LS407,2023-02-18 15:10:32.323000+00:00,2023-02-18 15:22:07.365000+00:00
LS408,2023-02-18 15:10:32.423000+00:00,2023-02-18 15:22:07.385000+00:00
LS405,2023-02-18 15:10:32.103000+00:00,2023-02-18 15:22:07.165000+00:00
LS401,2023-02-18 15:10:32.613000+00:00,2023-02-18 15:22:07.595000+00:00
LS403,2023-02-18 15:10:33.323000+00:00,2023-02-18 15:22:08.335000+00:00
LS402,2023-02-18 15:10:33.083000+00:00,2023-02-18 15:22:08.125000+00:00
LS410,2023-02-18 15:10:32.263000+00:00,2023-02-18 15:22:07.245000+00:00
LS404,,2023-02-18 15:22:07.295000+00:00
WW505,2023-02-18 15:10:32.513000+00:00,2023-02-18 15:22:07.475000+00:00
WW502,2023-02-18 15:10:31.563000+00:00,2023-02-18 15:22:06.595000+00:00
WW503,,
WW506,2023-02-18 15:10:32.143000+00:00,2023-02-18 15:22:07.065000+00:00
WW501,2023-02-18 15:10:32.513000+00:00,2023-02-18 15:22:07.505000+00:00
WW504,2023-02-18 15:10:30.893000+00:00,2023-02-18 15:22:05.965000+00:00
WW507,2023-02-18 15:10:32.433000+00:00,2023-02-18 15:22:07.465000+00:00
BR604,2023-02-18 15:10:32.113000+00:00,2023-02-18 15:22:07.065000+00:00
BR603,,
BR602,2023-02-18 15:10:32.793000+00:00,2023-02-18 15:22:07.725000+00:00
BR606,2023-02-18 15:10:32.133000+00:00,2023-02-18 15:22:07.215000+00:00
BR607,2023-02-18 15:10:33.423000+00:00,2023-02-18 15:22:08.415000+00:00
BR605,2023-02-18 15:10:32.493000+00:00,2023-02-18 15:22:07.475000+00:00
BR601,2023-02-18 15:10:33.023000+00:00,2023-02-18 15:22:08.035000+00:00
PC704,2023-02-18 15:10:32.263000+00:00,2023-02-18 15:22:07.295000+00:00
PC705,,
PC703,2023-02-18 15:10:33.163000+00:00,2023-02-18 15:22:08.145000+00:00
PC701,2023-02-18 15:10:32.473000+00:00,2023-02-18 15:22:07.475000+00:00
PC702,2023-02-18 15:10:32.703000+00:00,2023-02-18 15:22:07.655000+00:00
PC707,2023-02-18 15:10:32.913000+00:00,2023-02-18 15:22:07.825000+00:00
