,RE_Synch,RD_Synch,RD_Reic,RD_Reic2
LS401,2023-02-15 10:25:25.663000+00:00,2023-02-15 11:05:36.007000+00:00,2023-02-15 11:16:50.119000+00:00,2023-02-15 12:01:59.220000+00:00
LS405,2023-02-15 10:25:25.923000+00:00,2023-02-15 11:05:36.167000+00:00,2023-02-15 11:16:50.329000+00:00,2023-02-15 12:01:59.510000+00:00
LS406,2023-02-15 10:25:25.783000+00:00,2023-02-15 11:05:36.047000+00:00,2023-02-15 11:16:50.039000+00:00,2023-02-15 12:01:59.160000+00:00
LS407,2023-02-15 10:25:25.833000+00:00,2023-02-15 11:05:36.137000+00:00,2023-02-15 11:16:50.209000+00:00,2023-02-15 12:01:59.340000+00:00
LS408,2023-02-15 10:25:25.853000+00:00,2023-02-15 11:05:36.167000+00:00,2023-02-15 11:16:50.219000+00:00,2023-02-15 12:01:59.410000+00:00
VN101,2023-02-15 10:25:25.813000+00:00,2023-02-15 11:05:36.097000+00:00,2023-02-15 11:16:50.189000+00:00,2023-02-15 12:01:59.270000+00:00
VN102,2023-02-15 10:25:25.863000+00:00,2023-02-15 11:05:36.227000+00:00,2023-02-15 11:16:50.279000+00:00,2023-02-15 12:01:59.400000+00:00
VN103,2023-02-15 10:25:25.793000+00:00,2023-02-15 11:05:36.087000+00:00,2023-02-15 11:16:50.129000+00:00,2023-02-15 12:01:59.250000+00:00
VN104,2023-02-15 10:25:25.843000+00:00,2023-02-15 11:05:36.187000+00:00,2023-02-15 11:16:50.219000+00:00,2023-02-15 12:01:59.370000+00:00
VN105,2023-02-15 10:25:25.763000+00:00,2023-02-15 11:05:36.097000+00:00,2023-02-15 11:16:50.109000+00:00,2023-02-15 12:01:59.210000+00:00
VN106,2023-02-15 10:25:25.773000+00:00,2023-02-15 11:05:36.107000+00:00,2023-02-15 11:16:50.139000+00:00,2023-02-15 12:01:59.250000+00:00
VN108,2023-02-15 10:25:25.773000+00:00,2023-02-15 11:05:36.027000+00:00,2023-02-15 11:16:50.149000+00:00,2023-02-15 12:01:59.240000+00:00
