,RE_Synch,RD_Synch,RD_Reic,RD_Reic2
VN102,2023-02-15 10:25:26.493000+00:00,2023-02-15 11:05:36.497000+00:00,2023-02-15 11:16:50.469000+00:00,2023-02-15 12:01:59.190000+00:00
VN107,,,2023-02-15 11:16:53.069000+00:00,2023-02-15 12:02:01.800000+00:00
VN106,2023-02-15 10:25:27.483000+00:00,2023-02-15 11:05:37.647000+00:00,2023-02-15 11:16:51.639000+00:00,2023-02-15 12:02:00.560000+00:00
VN108,2023-02-15 10:25:27.473000+00:00,2023-02-15 11:05:37.597000+00:00,2023-02-15 11:16:51.689000+00:00,
VN101,2023-02-15 10:25:25.863000+00:00,2023-02-15 11:05:35.837000+00:00,,2023-02-15 12:01:58.590000+00:00
VN105,2023-02-15 10:25:26.793000+00:00,2023-02-15 11:05:36.897000+00:00,2023-02-15 11:16:50.909000+00:00,2023-02-15 12:01:59.660000+00:00
VN103,2023-02-15 10:25:26.673000+00:00,2023-02-15 11:05:36.677000+00:00,2023-02-15 11:16:50.659000+00:00,2023-02-15 12:01:59.520000+00:00
VN104,2023-02-15 10:25:26.873000+00:00,,,
VN205,2023-02-15 10:25:27.193000+00:00,2023-02-15 11:05:37.337000+00:00,2023-02-15 11:16:51.349000+00:00,2023-02-15 12:02:00.250000+00:00
VN203,2023-02-15 10:25:27.143000+00:00,2023-02-15 11:05:37.367000+00:00,2023-02-15 11:16:51.379000+00:00,2023-02-15 12:02:00.270000+00:00
VN202,,,,
VN206,2023-02-15 10:25:27.163000+00:00,2023-02-15 11:05:37.277000+00:00,2023-02-15 11:16:51.289000+00:00,2023-02-15 12:02:00.140000+00:00
VN209,,,,
VN210,2023-02-15 10:25:26.063000+00:00,2023-02-15 11:05:36.257000+00:00,2023-02-15 11:16:50.219000+00:00,2023-02-15 12:01:59.140000+00:00
VN207,2023-02-15 10:25:27.143000+00:00,2023-02-15 11:05:37.317000+00:00,2023-02-15 11:16:51.389000+00:00,2023-02-15 12:02:00.250000+00:00
VN208,2023-02-15 10:25:27.143000+00:00,2023-02-15 11:05:37.307000+00:00,2023-02-15 11:16:51.299000+00:00,2023-02-15 12:02:00.240000+00:00
VN201,2023-02-15 10:25:26.633000+00:00,2023-02-15 11:05:36.797000+00:00,2023-02-15 11:16:50.899000+00:00,2023-02-15 12:01:59.790000+00:00
