Event,Event_Type,Related,RD,C1,C2,C3,C4,C5
Pre-Audio,Stage,Init,,,-421.378,,,-981.902
Warmup,Orch,Init,-300.000,-348.482,-361.303,-52.946,-344.999,-386.462
Tuning,Orch,Init,-58.745,-61.511,-49.122,-48.773,-48.983,-225.636
Synch Taps,Orch,Init,0.000,0.000,0.000,0.000,0.000,0.000
Applause for Conductor,Applause,Init,19.294,28.292,122.014,76.074,21.929,-30.137
Saevarud,Music,Saev,43.907,44.900,3279.222,3288.046,30.147,15.336
Applause for Saevarud,Applause,Saev,280.462,279.156,3511.465,3518.249,265.054,246.166
MC pre Reich,Speech,Reic,285.523,294.284,268.682,218.914,274.913,257.826
Reich,Music,Reic,673.822,723.922,648.230,579.166,653.881,694.972
Applause for Reich,Applause,Reic,787.582,830.074,757.010,690.808,763.166,802.967
MC pre Arban,Speech,Arba,792.286,842.650,773.062,700.660,780.809,813.700
Applause for Florian,Applause,Arba,835.470,963.502,907.786,929.872,1004.009,997.015
Arban,Music,Arba,860.595,982.114,924.186,948.014,1045.313,1012.486
Applause for Arban,Applause,Arba,1382.782,1505.664,1453.954,1452.526,1538.147,1520.986
MC pre Grieg,Speech,Grie,1401.550,1521.080,1469.614,1465.262,1548.553,1533.898
Grieg,Music,Grie,1431.390,1602.074,1507.122,1510.942,1592.969,1581.658
Applause for Grieg,Applause,Grie,1752.022,1924.574,1828.986,1837.324,1911.849,1904.608
MC pre Tsjajkovskij,Speech,Tcha,1757.918,1941.832,1840.054,1850.926,1923.198,1917.820
Tsjajkovskij,Music,Tcha,1858.478,2198.418,2066.006,2065.888,2098.707,2102.386
Applause for Tsjajkovskij,Applause,Tcha,2033.670,2373.080,2238.578,2234.722,2271.945,2273.980
MC pre Christophersen,Speech,Chri,2041.982,2384.816,2246.130,2246.318,2281.342,2284.684
Christophersen,Music,Chri,2113.102,2457.580,2337.322,2336.374,2372.803,2362.576
Applause for Christophersen,Applause,Chri,2492.982,2830.816,2712.538,2708.182,2749.070,2739.538
MC pre School,Speech,Viva,2502.414,2841.928,2722.754,2716.264,2758.286,2751.286
Applause for school class,Applause,Viva,2628.270,,2883.718,2892.974,2933.843,2950.744
MC pre Vivaldi,Speech,Viva,,,2900.398,2916.442,2945.315,2970.154
Vivaldi,Music,Viva,2681.310,3147.310,2941.106,2950.480,2984.691,3008.884
Applause for Vivaldi,Applause,Viva,2918.702,3384.860,3178.374,3187.374,3221.161,3242.818
MC post Vivaldi,Speech,Viva,2928.318,3403.152,3190.018,3200.848,3237.251,3258.274
Applause for school class,Applause,Viva,2945.822,,3275.945,,3276.105,3273.124
MC pre Strauss,Speech,Stra,2954.046,,37.438,76.074,3284.489,3348.316
Strauss,Music,Stra,3188.606,3628.738,138.478,84.507,3373.438,3441.964
Applause for Strauss,Applause,Stra,3334.334,3749.508,259.002,209.167,3493.683,3564.004
End,Stage,Last,3395.694,3756.436,3535.870,3544.558,3512.995,3602.818
