Event,RD,C1,C2,C3,C4,C5
Pre-Audio,,,2023-02-16 11:09:21.319000+01:00,,,2023-02-18 15:54:07.681000+01:00
Warmup,2023-02-15 12:00:36.897000+01:00,2023-02-16 09:27:29.842000+01:00,2023-02-16 11:10:21.394000+01:00,2023-02-17 09:29:58.895000+01:00,2023-02-17 11:10:44.299000+01:00,2023-02-18 16:04:03.121000+01:00
Tuning,2023-02-15 12:04:38.152000+01:00,2023-02-16 09:32:16.813000+01:00,2023-02-16 11:15:33.575000+01:00,2023-02-17 09:30:03.068000+01:00,2023-02-17 11:15:40.315000+01:00,2023-02-18 16:06:43.947000+01:00
Synch Taps,2023-02-15 12:05:36.897000+01:00,2023-02-16 09:33:18.324000+01:00,2023-02-16 11:16:22.697000+01:00,2023-02-17 09:30:51.841000+01:00,2023-02-17 11:16:29.298000+01:00,2023-02-18 16:10:29.583000+01:00
Applause for Conductor,2023-02-15 12:05:56.191000+01:00,2023-02-16 09:33:46.616000+01:00,2023-02-16 11:18:24.711000+01:00,2023-02-17 09:32:07.915000+01:00,2023-02-17 11:16:51.227000+01:00,2023-02-18 16:09:59.446000+01:00
Saevarud,2023-02-15 12:06:20.804000+01:00,2023-02-16 09:34:03.224000+01:00,2023-02-16 12:11:01.919000+01:00,2023-02-17 10:25:39.887000+01:00,2023-02-17 11:16:59.445000+01:00,2023-02-18 16:10:44.919000+01:00
Applause for Saevarud,2023-02-15 12:10:17.359000+01:00,2023-02-16 09:37:57.480000+01:00,2023-02-16 12:14:54.162000+01:00,2023-02-17 10:29:30.090000+01:00,2023-02-17 11:20:54.352000+01:00,2023-02-18 16:14:35.749000+01:00
MC pre Reich,2023-02-15 12:10:22.420000+01:00,2023-02-16 09:38:12.608000+01:00,2023-02-16 11:20:51.379000+01:00,2023-02-17 09:34:30.755000+01:00,2023-02-17 11:21:04.211000+01:00,2023-02-18 16:14:47.409000+01:00
Reich,2023-02-15 12:16:50.719000+01:00,2023-02-16 09:45:22.246000+01:00,2023-02-16 11:27:10.927000+01:00,2023-02-17 09:40:31.007000+01:00,2023-02-17 11:27:23.179000+01:00,2023-02-18 16:22:04.555000+01:00
Applause for Reich,2023-02-15 12:18:44.479000+01:00,2023-02-16 09:47:08.398000+01:00,2023-02-16 11:28:59.707000+01:00,2023-02-17 09:42:22.649000+01:00,2023-02-17 11:29:12.464000+01:00,2023-02-18 16:23:52.550000+01:00
MC pre Arban,2023-02-15 12:18:49.183000+01:00,2023-02-16 09:47:20.974000+01:00,2023-02-16 11:29:15.759000+01:00,2023-02-17 09:42:32.501000+01:00,2023-02-17 11:29:30.107000+01:00,2023-02-18 16:24:03.283000+01:00
Applause for Florian,2023-02-15 12:19:32.367000+01:00,2023-02-16 09:49:21.826000+01:00,2023-02-16 11:31:30.483000+01:00,2023-02-17 09:46:21.713000+01:00,2023-02-17 11:33:13.307000+01:00,2023-02-18 16:27:06.598000+01:00
Arban,2023-02-15 12:19:57.492000+01:00,2023-02-16 09:49:40.438000+01:00,2023-02-16 11:31:46.883000+01:00,2023-02-17 09:46:39.855000+01:00,2023-02-17 11:33:54.611000+01:00,2023-02-18 16:27:22.069000+01:00
Applause for Arban,2023-02-15 12:28:39.679000+01:00,2023-02-16 09:58:23.988000+01:00,2023-02-16 11:40:36.651000+01:00,2023-02-17 09:55:04.367000+01:00,2023-02-17 11:42:07.445000+01:00,2023-02-18 16:35:50.569000+01:00
MC pre Grieg,2023-02-15 12:28:58.447000+01:00,2023-02-16 09:58:39.404000+01:00,2023-02-16 11:40:52.311000+01:00,2023-02-17 09:55:17.103000+01:00,2023-02-17 11:42:17.851000+01:00,2023-02-18 16:36:03.481000+01:00
Grieg,2023-02-15 12:29:28.287000+01:00,2023-02-16 10:00:00.398000+01:00,2023-02-16 11:41:29.819000+01:00,2023-02-17 09:56:02.783000+01:00,2023-02-17 11:43:02.267000+01:00,2023-02-18 16:36:51.241000+01:00
Applause for Grieg,2023-02-15 12:34:48.919000+01:00,2023-02-16 10:05:22.898000+01:00,2023-02-16 11:46:51.683000+01:00,2023-02-17 10:01:29.165000+01:00,2023-02-17 11:48:21.147000+01:00,2023-02-18 16:42:14.191000+01:00
MC pre Tsjajkovskij,2023-02-15 12:34:54.815000+01:00,2023-02-16 10:05:40.156000+01:00,2023-02-16 11:47:02.751000+01:00,2023-02-17 10:01:42.767000+01:00,2023-02-17 11:48:32.496000+01:00,2023-02-18 16:42:27.403000+01:00
Tsjajkovskij,2023-02-15 12:36:35.375000+01:00,2023-02-16 10:09:56.742000+01:00,2023-02-16 11:50:48.703000+01:00,2023-02-17 10:05:17.729000+01:00,2023-02-17 11:51:28.005000+01:00,2023-02-18 16:45:31.969000+01:00
Applause for Tsjajkovskij,2023-02-15 12:39:30.567000+01:00,2023-02-16 10:12:51.404000+01:00,2023-02-16 11:53:41.275000+01:00,2023-02-17 10:08:06.563000+01:00,2023-02-17 11:54:21.243000+01:00,2023-02-18 16:48:23.563000+01:00
MC pre Christophersen,2023-02-15 12:39:38.879000+01:00,2023-02-16 10:13:03.140000+01:00,2023-02-16 11:53:48.827000+01:00,2023-02-17 10:08:18.159000+01:00,2023-02-17 11:54:30.640000+01:00,2023-02-18 16:48:34.267000+01:00
Christophersen,2023-02-15 12:40:49.999000+01:00,2023-02-16 10:14:15.904000+01:00,2023-02-16 11:55:20.019000+01:00,2023-02-17 10:09:48.215000+01:00,2023-02-17 11:56:02.101000+01:00,2023-02-18 16:49:52.159000+01:00
Applause for Christophersen,2023-02-15 12:47:09.879000+01:00,2023-02-16 10:20:29.140000+01:00,2023-02-16 12:01:35.235000+01:00,2023-02-17 10:16:00.023000+01:00,2023-02-17 12:02:18.368000+01:00,2023-02-18 16:56:09.121000+01:00
MC pre School,2023-02-15 12:47:19.311000+01:00,2023-02-16 10:20:40.252000+01:00,2023-02-16 12:01:45.451000+01:00,2023-02-17 10:16:08.105000+01:00,2023-02-17 12:02:27.584000+01:00,2023-02-18 16:56:20.869000+01:00
Applause for school class,2023-02-15 12:49:25.167000+01:00,,2023-02-16 12:04:26.415000+01:00,2023-02-17 10:19:04.815000+01:00,2023-02-17 12:05:23.141000+01:00,2023-02-18 16:59:40.327000+01:00
MC pre Vivaldi,,,2023-02-16 12:04:43.095000+01:00,2023-02-17 10:19:28.283000+01:00,2023-02-17 12:05:34.613000+01:00,2023-02-18 16:59:59.737000+01:00
Vivaldi,2023-02-15 12:50:18.207000+01:00,2023-02-16 10:25:45.634000+01:00,2023-02-16 12:05:23.803000+01:00,2023-02-17 10:20:02.321000+01:00,2023-02-17 12:06:13.989000+01:00,2023-02-18 17:00:38.467000+01:00
Applause for Vivaldi,2023-02-15 12:54:15.599000+01:00,2023-02-16 10:29:43.184000+01:00,2023-02-16 12:09:21.071000+01:00,2023-02-17 10:23:59.215000+01:00,2023-02-17 12:10:10.459000+01:00,2023-02-18 17:04:32.401000+01:00
MC post Vivaldi,2023-02-15 12:54:25.215000+01:00,2023-02-16 10:30:01.476000+01:00,2023-02-16 12:09:32.715000+01:00,2023-02-17 10:24:12.689000+01:00,2023-02-17 12:10:26.549000+01:00,2023-02-18 17:04:47.857000+01:00
Applause for school class,2023-02-15 12:54:42.719000+01:00,,2023-02-16 12:10:58.642000+01:00,,2023-02-17 12:11:05.403000+01:00,2023-02-18 17:05:02.707000+01:00
MC pre Strauss,2023-02-15 12:54:50.943000+01:00,,2023-02-16 11:17:00.135000+01:00,2023-02-17 09:32:07.915000+01:00,2023-02-17 12:11:13.787000+01:00,2023-02-18 17:06:17.899000+01:00
Strauss,2023-02-15 12:58:45.503000+01:00,2023-02-16 10:33:47.062000+01:00,2023-02-16 11:18:41.175000+01:00,2023-02-17 09:32:16.348000+01:00,2023-02-17 12:12:42.736000+01:00,2023-02-18 17:07:51.547000+01:00
Applause for Strauss,2023-02-15 13:01:11.231000+01:00,2023-02-16 10:35:47.832000+01:00,2023-02-16 11:20:41.699000+01:00,2023-02-17 09:34:21.008000+01:00,2023-02-17 12:14:42.981000+01:00,2023-02-18 17:09:53.587000+01:00
End,2023-02-15 13:02:12.591000+01:00,2023-02-16 10:35:54.760000+01:00,2023-02-16 12:15:18.567000+01:00,2023-02-17 10:29:56.399000+01:00,2023-02-17 12:15:02.293000+01:00,2023-02-18 17:10:32.401000+01:00
