,Cue_concert,Cue_datetime,Cue_type,Cue_files
RE_Synch,RE,2023-02-15 10:25:26.573000+00:00,taps,./Timing/synch_cue_taps.csv
RD_Synch,RD,2023-02-15 11:05:36.897000+00:00,taps,./Timing/synch_cue_taps.csv
RD_Reic,RD,2023-02-15 11:16:50.919000+00:00,claps,./Timing/RD_Reic1.csv
RD_Reic2,RD,2023-02-15 12:02:00.040000+00:00,claps,./Timing/RD_Reic2.csv
C1_Synch,C1,2023-02-16 08:33:18.324000+00:00,taps,./Timing/short_taps.csv
C1_Reic,C1,2023-02-16 08:45:22.246000+00:00,claps,./Timing/C1_reic_claps.csv
C2_Synch,C2,2023-02-16 10:16:22.697000+00:00,taps,./Timing/short_taps.csv
C2_Reic,C2,2023-02-16 10:27:10.927000+00:00,claps,./Timing/C2_reic_claps.csv
C3_Synch,C3,2023-02-17 08:30:51.841000+00:00,taps,./Timing/short_taps.csv
C3_Reic,C3,2023-02-17 08:40:31.007000+00:00,claps,./Timing/C3_reic_claps.csv
C4_Synch,C4,2023-02-17 10:16:26.888000+00:00,taps,./Timing/short_taps.csv
C4_Reic,C4,2023-02-17 10:27:20.769000+00:00,claps,./Timing/C4_reic_claps.csv
C5_Synch,C5,2023-02-18 15:10:29.583000+00:00,taps,./Timing/short_taps.csv
C5_Reic,C5,2023-02-18 15:22:04.555000+00:00,claps,./Timing/C5_claps.csv
