Inst_Ord,devID,Instrument,RE_Synch,RD_Synch,C1_Synch,C2_Synch,C3_Synch,C4_Synch,C5_Synch,RE_Reic,DRE_Reic,DRE2_Reic,C1_Reic,C2_Reic
0,VN102,1st Violin,5,4,5,5,4,5,5,4,4,5,5,5
1,VN107,1st Violin,1,1,1,3,5,5,4,5,5,5,5,5
2,VN106,1st Violin,5,4,4,5,5,5,5,5,5,5,5,5
3,VN108,1st Violin,5,5,5,5,5,4,5,5,3,5,4,5
4,VN101,1st Violin,5,5,1,3,5,5,5,3,5,5,5,5
5,VN105,1st Violin,5,5,4,5,5,4,5,5,5,5,5,5
6,VN103,1st Violin,4,5,3,5,5,5,5,4,4,5,5,5
7,VN104,1st Violin,5,5,3,5,5,5,5,3,3,5,5,5
8,VN205,2nd Violin,5,5,3,5,5,5,5,5,4,5,5,5
9,VN203,2nd Violin,5,5,5,5,4,5,5,5,5,5,5,5
10,VN202,2nd Violin,1,1,1,3,5,5,4,1,1,1,5,3
11,VN206,2nd Violin,4,5,3,5,5,4,5,4,5,5,5,5
12,VN209,2nd Violin,1,1,2,3,3,3,1,1,1,1,3,3
13,VN210,2nd Violin,4,5,1,5,5,5,4,5,5,5,5,5
14,VN207,2nd Violin,4,5,3,3,5,5,5,4,4,5,5,5
15,VN208,2nd Violin,4,5,5,5,5,4,5,3,5,5,4,4
16,VN201,2nd Violin,5,5,5,5,5,5,4,5,4,5,5,4
17,VN204,2nd Violin,5,5,4,5,5,4,5,5,4,4,5,5
18,VA305,Viola,5,5,3,4,4,5,4,4,5,5,5,5
19,VA307,Viola,5,5,5,5,5,4,5,5,3,5,5,3
20,VA308,Viola,4,5,3,5,1,1,5,4,5,5,2,3
21,VA301,Viola,5,5,1,5,5,4,5,5,5,5,5,5
22,VA306,Viola,4,4,1,1,5,4,5,5,4,5,5,1
23,VA302,Viola,1,5,5,5,5,4,4,5,5,5,3,5
24,VA303,Viola,1,5,5,5,1,1,1,1,3,3,3,3
25,VA304,Viola,5,5,5,5,5,5,5,5,5,5,5,4
26,LS406,Cello,5,5,5,5,4,5,4,5,5,5,5,5
27,LS407,Cello,5,5,5,4,5,5,5,5,5,5,4,5
28,LS408,Cello,5,5,5,5,5,5,4,5,5,5,5,5
29,LS405,Cello,5,4,4,4,5,5,5,5,5,5,5,5
30,LS401,Cello,5,5,3,4,4,4,1,5,5,5,4,4
31,LS403,Bass,5,5,3,5,5,4,4,4,5,5,3,1
32,LS402,Bass,5,5,5,5,5,4,5,5,4,5,5,5
33,LS410,Bass,4,5,5,5,5,4,4,5,5,5,5,5
34,LS404,Bass,5,5,1,5,4,5,1,3,4,5,4,1
35,WW505,Flute,5,5,5,3,4,5,5,5,5,3,4,5
36,WW502,Flute,4,5,5,1,1,4,5,1,1,1,3,1
37,WW503,Flute,4,5,1,5,5,1,1,1,4,5,3,3
38,WW506,Oboe,4,4,5,5,4,4,5,5,5,4,5,5
39,WW501,Clarinet,1,5,4,4,1,5,4,5,3,4,4,4
40,WW504,Clarinet,5,5,3,5,1,4,5,4,3,5,3,3
41,WW507,Bassoon,5,5,5,5,5,5,5,5,5,5,5,5
42,BR604,Horn,1,5,3,3,5,4,4,5,5,5,5,5
43,BR603,Horn,4,4,3,4,1,1,1,5,5,5,5,5
44,BR602,Trumpet,5,4,5,5,5,4,4,5,5,5,5,5
45,BR606,Trombone,5,5,3,5,4,4,4,5,4,5,5,5
46,BR607,Trombone,4,5,5,5,5,4,5,5,5,5,5,5
47,BR605,Trombone,4,5,3,5,5,5,5,5,4,5,5,5
48,BR601,Tuba,5,4,3,5,5,5,4,5,5,5,5,4
49,PC704,Percussion,5,5,5,3,4,4,5,5,5,5,5,4
50,PC705,Percussion,1,4,5,5,5,5,1,5,5,5,5,5
51,PC703,Percussion,5,5,5,5,5,4,4,5,5,5,5,5
52,PC701,Percussion,5,4,1,4,4,5,5,4,5,5,4,3
53,PC702,Harp,4,5,5,5,5,4,4,5,5,5,5,5
54,PC707,Conductor,4,4,4,5,5,5,4,4,4,4,4,4
