,PartID,Day,DevID,Cue0_code,Cue0_ddt,Cue0_rdt,Cue0_rst,Cue0_shift,Cue1_code,Cue1_ddt,Cue1_shift,Scaling_C,Source_filename,Output_files
0,LS401,Re,14564,RE_Synch,2023-02-15 10:25:25.663000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.91,RD_Reic2,2023-02-15 12:01:59.220000+00:00,0.82,0.999984465501936,../Data/AX3/150223/14564_0000001508.csv,"['RG_FULL_LS401_AX3ACC.csv', 'RE_FULL_LS401_AX3ACC.csv', 'RD_FULL_LS401_AX3ACC.csv']"
1,LS401,D1,14564,C1_Synch,2023-02-16 08:33:21.924000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.4,C2_Reic,2023-02-16 10:27:14.287000+00:00,-3.36,1.0000058544898742,../Data/AX3/160223/14564_0000001608.csv,"['C1_FULL_LS401_AX3ACC.csv', 'C2_FULL_LS401_AX3ACC.csv']"
2,LS401,D2,14564,C3_Synch,2023-02-17 08:30:55.911000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.07,C4_Reic,2023-02-17 10:27:24.759000+00:00,-3.99,1.0000114468078287,../Data/AX3/170223/14564_0000001708.csv,"['C3_FULL_LS401_AX3ACC.csv', 'C4_FULL_LS401_AX3ACC.csv']"
3,LS401,D3,14564,C5_Synch,2023-02-18 15:10:34.463000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-4.88,,,,1.0000071344143435,../Data/AX3/180223/14564_0000001808.csv,['C5_FULL_LS401_AX3ACC.csv']
4,LS405,Re,17510,RE_Synch,2023-02-15 10:25:25.923000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.65,RD_Reic2,2023-02-15 12:01:59.510000+00:00,0.53,0.9999792874431677,../Data/AX3/150223/17510_0000001513.csv,"['RG_FULL_LS405_AX3ACC.csv', 'RE_FULL_LS405_AX3ACC.csv', 'RD_FULL_LS405_AX3ACC.csv']"
5,LS405,D1,17510,C1_Reic,2023-02-16 08:45:25.956000+00:00,2023-02-16 08:45:22.446000+00:00,723.922,-3.51,C2_Reic,2023-02-16 10:27:14.497000+00:00,-3.57,0.9999901776872742,../Data/AX3/160223/17510_0000001613.csv,"['C1_FULL_LS405_AX3ACC.csv', 'C2_FULL_LS405_AX3ACC.csv']"
6,LS405,D2,17510,C3_Synch,2023-02-17 08:30:55.941000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.1,C4_Reic,2023-02-17 10:27:24.979000+00:00,-4.21,0.9999842610671169,../Data/AX3/170223/17510_0000001713.csv,"['C3_FULL_LS405_AX3ACC.csv', 'C4_FULL_LS405_AX3ACC.csv']"
7,LS405,D3,17510,C5_Synch,2023-02-18 15:10:34.833000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.25,,,,0.9999895640837944,../Data/AX3/180223/17510_0000001813.csv,['C5_FULL_LS405_AX3ACC.csv']
8,LS406,Re,14341,RE_Synch,2023-02-15 10:25:25.783000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.79,RD_Reic2,2023-02-15 12:01:59.160000+00:00,0.88,1.00001553498072,../Data/AX3/150223/14341_0000001502.csv,"['RG_FULL_LS406_AX3ACC.csv', 'RE_FULL_LS406_AX3ACC.csv', 'RD_FULL_LS406_AX3ACC.csv']"
9,LS406,D1,14341,C1_Synch,2023-02-16 08:33:21.944000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.42,C2_Reic,2023-02-16 10:27:14.217000+00:00,-3.29,1.0000190273427305,../Data/AX3/160223/14341_0000001602.csv,"['C1_FULL_LS406_AX3ACC.csv', 'C2_FULL_LS406_AX3ACC.csv']"
10,LS406,D2,14341,C3_Synch,2023-02-17 08:30:56.011000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.17,C4_Reic,2023-02-17 10:27:24.849000+00:00,-4.08,1.0000128776772332,../Data/AX3/170223/14341_0000001702.csv,"['C3_FULL_LS406_AX3ACC.csv', 'C4_FULL_LS406_AX3ACC.csv']"
11,LS406,D3,14341,C5_Synch,2023-02-18 15:10:34.733000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.15,,,,1.000008645142067,../Data/AX3/180223/14341_0000001802.csv,['C5_FULL_LS406_AX3ACC.csv']
12,LS407,Re,14893,RE_Synch,2023-02-15 10:25:25.833000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.74,RD_Reic2,2023-02-15 12:01:59.340000+00:00,0.7,0.9999930957190524,../Data/AX3/150223/14893_0000001501.csv,"['RG_FULL_LS407_AX3ACC.csv', 'RE_FULL_LS407_AX3ACC.csv', 'RD_FULL_LS407_AX3ACC.csv']"
13,LS407,D1,14893,C1_Synch,2023-02-16 08:33:21.964000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.44,C2_Reic,2023-02-16 10:27:14.367000+00:00,-3.44,1.0,../Data/AX3/160223/14893_0000001601.csv,"['C1_FULL_LS407_AX3ACC.csv', 'C2_FULL_LS407_AX3ACC.csv']"
14,LS407,D2,14893,C3_Synch,2023-02-17 08:30:55.931000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.09,C4_Reic,2023-02-17 10:27:24.909000+00:00,-4.14,0.9999928458781813,../Data/AX3/170223/14893_0000001701.csv,"['C3_FULL_LS407_AX3ACC.csv', 'C4_FULL_LS407_AX3ACC.csv']"
15,LS407,D3,14893,C5_Synch,2023-02-18 15:10:33.773000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-4.19,,,,0.9999952828639644,../Data/AX3/180223/14893_0000001801.csv,['C5_FULL_LS407_AX3ACC.csv']
16,LS408,Re,14266,RE_Synch,2023-02-15 10:25:25.853000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.72,RD_Reic2,2023-02-15 12:01:59.410000+00:00,0.63,0.999984465501936,../Data/AX3/150223/14266_0000001517.csv,"['RG_FULL_LS408_AX3ACC.csv', 'RE_FULL_LS408_AX3ACC.csv', 'RD_FULL_LS408_AX3ACC.csv']"
17,LS408,D1,14266,C1_Synch,2023-02-16 08:33:22.044000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.52,C2_Reic,2023-02-16 10:27:14.457000+00:00,-3.53,0.9999985363882424,../Data/AX3/160223/14266_0000001617.csv,"['C1_FULL_LS408_AX3ACC.csv', 'C2_FULL_LS408_AX3ACC.csv']"
18,LS408,D2,14266,C3_Synch,2023-02-17 08:30:56.021000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.18,C4_Reic,2023-02-17 10:27:24.989000+00:00,-4.22,0.999994276694356,../Data/AX3/170223/14266_0000001717.csv,"['C3_FULL_LS408_AX3ACC.csv', 'C4_FULL_LS408_AX3ACC.csv']"
19,LS408,D3,14266,C5_Synch,2023-02-18 15:10:33.543000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-3.96,,,,0.9999919318230626,../Data/AX3/180223/14266_0000001817.csv,['C5_FULL_LS408_AX3ACC.csv']
20,VN101,Re,14155,RE_Synch,2023-02-15 10:25:25.813000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.76,RD_Reic2,2023-02-15 12:01:59.270000+00:00,0.77,1.0000017260851335,../Data/AX3/150223/14155_0000001514.csv,"['RG_FULL_VN101_AX3ACC.csv', 'RE_FULL_VN101_AX3ACC.csv', 'RD_FULL_VN101_AX3ACC.csv']"
21,VN101,D1,14155,C1_Reic,2023-02-16 08:45:25.886000+00:00,2023-02-16 08:45:22.446000+00:00,723.922,-3.44,C2_Reic,2023-02-16 10:27:14.317000+00:00,-3.39,1.000008185408004,../Data/AX3/160223/14155_0000001614.csv,"['C1_FULL_VN101_AX3ACC.csv', 'C2_FULL_VN101_AX3ACC.csv']"
22,VN101,D2,14155,C3_Synch,2023-02-17 08:30:55.861000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.02,C4_Reic,2023-02-17 10:27:24.789000+00:00,-4.02,1.0,../Data/AX3/170223/14155_0000001714.csv,"['C3_FULL_VN101_AX3ACC.csv', 'C4_FULL_VN101_AX3ACC.csv']"
23,VN101,D3,14155,C5_Synch,2023-02-18 15:10:34.733000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.15,,,,1.0,../Data/AX3/180223/14155_0000001814.csv,['C5_FULL_VN101_AX3ACC.csv']
24,VN102,Re,17753,RE_Synch,2023-02-15 10:25:25.863000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.71,RD_Reic2,2023-02-15 12:01:59.400000+00:00,0.64,0.9999879175709069,../Data/AX3/150223/17753_0000001515.csv,"['RG_FULL_VN102_AX3ACC.csv', 'RE_FULL_VN102_AX3ACC.csv', 'RD_FULL_VN102_AX3ACC.csv']"
25,VN102,D1,17753,C1_Synch,2023-02-16 08:33:22.044000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.52,C2_Reic,2023-02-16 10:27:14.457000+00:00,-3.53,0.9999985363882424,../Data/AX3/160223/17753_0000001615.csv,"['C1_FULL_VN102_AX3ACC.csv', 'C2_FULL_VN102_AX3ACC.csv']"
26,VN102,D2,17753,C3_Synch,2023-02-17 08:30:56.021000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.18,C4_Reic,2023-02-17 10:27:25.019000+00:00,-4.25,0.9999899842581155,../Data/AX3/170223/17753_0000001715.csv,"['C3_FULL_VN102_AX3ACC.csv', 'C4_FULL_VN102_AX3ACC.csv']"
27,VN102,D3,17753,C5_Synch,2023-02-18 15:10:34.843000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.26,,,,0.9999907454976172,../Data/AX3/180223/17753_0000001815.csv,['C5_FULL_VN102_AX3ACC.csv']
28,VN103,Re,14452,RE_Synch,2023-02-15 10:25:25.793000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.78,RD_Reic2,2023-02-15 12:01:59.250000+00:00,0.79,1.0000017260851335,../Data/AX3/150223/14452_0000001511.csv,"['RG_FULL_VN103_AX3ACC.csv', 'RE_FULL_VN103_AX3ACC.csv', 'RD_FULL_VN103_AX3ACC.csv']"
29,VN103,D1,14452,C1_Synch,2023-02-16 08:33:21.944000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.42,C2_Reic,2023-02-16 10:27:14.317000+00:00,-3.39,1.0000043908609793,../Data/AX3/160223/14452_0000001611.csv,"['C1_FULL_VN103_AX3ACC.csv', 'C2_FULL_VN103_AX3ACC.csv']"
30,VN103,D2,14452,C3_Synch,2023-02-17 08:30:55.891000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.05,C4_Reic,2023-02-17 10:27:24.809000+00:00,-4.04,1.0000014308366474,../Data/AX3/170223/14452_0000001711.csv,"['C3_FULL_VN103_AX3ACC.csv', 'C4_FULL_VN103_AX3ACC.csv']"
31,VN103,D3,14452,C5_Synch,2023-02-18 15:10:34.703000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.12,,,,1.0000053156906197,../Data/AX3/180223/14452_0000001811.csv,['C5_FULL_VN103_AX3ACC.csv']
