,PartID,Day,DevID,Cue0_code,Cue0_ddt,Cue0_rdt,Cue0_rst,Cue0_shift,Cue1_code,Cue1_ddt,Cue1_shift,Scaling_C,Source_filename,Output_files
0,VN102,Re,3420426,RE_Synch,2023-02-15 10:25:26.493000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.08,RD_Reic2,2023-02-15 12:01:59.190000+00:00,0.85,1.000132925992849,../Data/Equivital/Lydo_Rehearsal/FASTACC-VN102-3420426-23021500-cut.csv,"['RG_FULL_VN102_EQCIBI.csv', 'RE_FULL_VN102_EQCIBI.csv', 'RD_FULL_VN102_EQCIBI.csv', 'RG_FULL_VN102_EQDATA.csv', 'RE_FULL_VN102_EQDATA.csv', 'RD_FULL_VN102_EQDATA.csv', 'RG_FULL_VN102_EQRESP.csv', 'RE_FULL_VN102_EQRESP.csv', 'RD_FULL_VN102_EQRESP.csv', 'RG_FULL_VN102_EQBACC.csv', 'RE_FULL_VN102_EQBACC.csv', 'RD_FULL_VN102_EQBACC.csv']"
1,VN102,D1,3420426,C1_Synch,2023-02-16 08:33:18.264000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,0.26,C2_Reic,2023-02-16 10:27:09.787000+00:00,1.14,1.0001288146142522,../Data/Equivital/Lydo_C1_C2/FASTACC-VN102-3420426-23021600-cut.csv,"['C1_FULL_VN102_EQBACC.csv', 'C2_FULL_VN102_EQBACC.csv', 'C1_FULL_VN102_EQCIBI.csv', 'C2_FULL_VN102_EQCIBI.csv', 'C1_FULL_VN102_EQDATA.csv', 'C2_FULL_VN102_EQDATA.csv', 'C1_FULL_VN102_EQRESP.csv', 'C2_FULL_VN102_EQRESP.csv']"
2,VN102,D2,3420426,C3_Synch,2023-02-17 08:30:50.421000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,1.42,C4_Reic,2023-02-17 10:27:18.499000+00:00,2.27,1.000121635734461,../Data/Equivital/230217_Lydo_Concerts/CSV/FASTACC-VN102-3420426-23021700-cut.csv,"['C3_FULL_VN102_EQBACC.csv', 'C4_FULL_VN102_EQBACC.csv', 'C3_FULL_VN102_EQ2ECG.csv', 'C4_FULL_VN102_EQ2ECG.csv', 'C3_FULL_VN102_EQCIBI.csv', 'C4_FULL_VN102_EQCIBI.csv', 'C3_FULL_VN102_EQDATA.csv', 'C4_FULL_VN102_EQDATA.csv', 'C3_FULL_VN102_EQRESP.csv', 'C4_FULL_VN102_EQRESP.csv']"
3,VN102,D3,3420426,C5_Synch,2023-02-18 15:10:32.123000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-2.54,,,,1.0001288146142522,../Data/Equivital/230218_Lydo_Concerts/FASTACC-VN102-3420426-23021800-cut.csv,"['C5_FULL_VN102_EQ2ECG.csv', 'C5_FULL_VN102_EQDATA.csv', 'C5_FULL_VN102_EQCIBI.csv', 'C5_FULL_VN102_EQRESP.csv', 'C5_FULL_VN102_EQBACC.csv']"
4,VN107,Re,5022006,RD_Reic,2023-02-15 11:16:53.069000+00:00,2023-02-15 11:16:50.919000+00:00,3084.346,-2.15,,,,1.0000820640667811,../Data/Equivital/Lydo_Rehearsal/FASTACC-VN107-5022006-23021500-cut.csv,"['RG_FULL_VN107_EQBACC.csv', 'RE_FULL_VN107_EQBACC.csv', 'RD_FULL_VN107_EQBACC.csv', 'RG_FULL_VN107_EQRESP.csv', 'RE_FULL_VN107_EQRESP.csv', 'RD_FULL_VN107_EQRESP.csv', 'RG_FULL_VN107_EQCIBI.csv', 'RE_FULL_VN107_EQCIBI.csv', 'RD_FULL_VN107_EQCIBI.csv', 'RG_FULL_VN107_EQDATA.csv', 'RE_FULL_VN107_EQDATA.csv', 'RD_FULL_VN107_EQDATA.csv']"
5,VN107,D1,5022006,C1_Reic,2023-02-16 08:45:23.396000+00:00,2023-02-16 08:45:22.446000+00:00,723.922,-0.95,C2_Reic,2023-02-16 10:27:11.347000+00:00,-0.42,1.0000867721433915,../Data/Equivital/Lydo_C1_C2/FASTACC-VN107-5022006-23021600-cut.csv,"['C1_FULL_VN107_EQRESP.csv', 'C2_FULL_VN107_EQRESP.csv', 'C1_FULL_VN107_EQCIBI.csv', 'C2_FULL_VN107_EQCIBI.csv', 'C1_FULL_VN107_EQDATA.csv', 'C2_FULL_VN107_EQDATA.csv', 'C1_FULL_VN107_EQBACC.csv', 'C2_FULL_VN107_EQBACC.csv']"
6,VN107,D2,5022006,C3_Synch,2023-02-17 08:30:52.331000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-0.49,C4_Reic,2023-02-17 10:27:20.679000+00:00,0.09,1.000082995294453,../Data/Equivital/230217_Lydo_Concerts/CSV/FASTACC-VN107-5022006-23021700-cut.csv,"['C3_FULL_VN107_EQ2ECG.csv', 'C4_FULL_VN107_EQ2ECG.csv', 'C3_FULL_VN107_EQRESP.csv', 'C4_FULL_VN107_EQRESP.csv', 'C3_FULL_VN107_EQCIBI.csv', 'C4_FULL_VN107_EQCIBI.csv', 'C3_FULL_VN107_EQDATA.csv', 'C4_FULL_VN107_EQDATA.csv', 'C3_FULL_VN107_EQBACC.csv', 'C4_FULL_VN107_EQBACC.csv']"
7,VN107,D3,5022006,C5_Synch,2023-02-18 15:10:33.033000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-3.45,,,,1.0000820640667811,../Data/Equivital/230218_Lydo_Concerts/FASTACC-VN107-5022006-23021800-cut.csv,"['C5_FULL_VN107_EQBACC.csv', 'C5_FULL_VN107_EQ2ECG.csv', 'C5_FULL_VN107_EQRESP.csv', 'C5_FULL_VN107_EQDATA.csv', 'C5_FULL_VN107_EQCIBI.csv']"
8,VN106,Re,5022002,RE_Synch,2023-02-15 10:25:27.483000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,-0.91,RD_Reic2,2023-02-15 12:02:00.560000+00:00,-0.52,1.000067321735927,../Data/Equivital/Lydo_Rehearsal/FASTACC-VN106-5022002-23021500-cut.csv,"['RG_FULL_VN106_EQBACC.csv', 'RE_FULL_VN106_EQBACC.csv', 'RD_FULL_VN106_EQBACC.csv', 'RG_FULL_VN106_EQRESP.csv', 'RE_FULL_VN106_EQRESP.csv', 'RD_FULL_VN106_EQRESP.csv', 'RG_FULL_VN106_EQDATA.csv', 'RE_FULL_VN106_EQDATA.csv', 'RD_FULL_VN106_EQDATA.csv', 'RG_FULL_VN106_EQCIBI.csv', 'RE_FULL_VN106_EQCIBI.csv', 'RD_FULL_VN106_EQCIBI.csv']"
9,VN106,D1,5022002,C1_Synch,2023-02-16 08:33:19.384000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-0.86,C2_Reic,2023-02-16 10:27:11.257000+00:00,-0.33,1.000077577554501,../Data/Equivital/Lydo_C1_C2/FASTACC-VN106-5022002-23021600-cut.csv,"['C1_FULL_VN106_EQRESP.csv', 'C2_FULL_VN106_EQRESP.csv', 'C1_FULL_VN106_EQDATA.csv', 'C2_FULL_VN106_EQDATA.csv', 'C1_FULL_VN106_EQCIBI.csv', 'C2_FULL_VN106_EQCIBI.csv', 'C1_FULL_VN106_EQBACC.csv', 'C2_FULL_VN106_EQBACC.csv']"
