devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC
VN205,0.006122791904067063,0.2118521730309664,-151,-0.6040000000007382,20481,81.92400000010012,-0.6040000000007382,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2117a5be0>, <matplotlib.lines.Line2D object at 0x2117a5b20>)"
VA301,0.0894736512131047,0.1470023272826579,-319,-1.2760000000015594,20481,81.92400000010012,-1.2760000000015594,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x213f98550>, <matplotlib.lines.Line2D object at 0x213f98490>)"
WW506,0.036734431199188275,0.47179036155640264,-225,-0.9000000000010999,20481,81.92400000010012,-0.9000000000010999,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x216612760>, <matplotlib.lines.Line2D object at 0x2166126a0>)"
WW501,0.015375815107683877,0.46842167416853153,-471,-1.8840000000023025,20481,81.92400000010012,-1.8840000000023025,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x218ccdd90>, <matplotlib.lines.Line2D object at 0x218ccdcd0>)"
VN209,0.06095143089029666,0.13316139498702878,-539,-2.156000000002635,20481,81.92400000010012,-2.156000000002635,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x21b10b700>, <matplotlib.lines.Line2D object at 0x21b10b640>)"
PC701,0.0833140035137851,0.10160685521487328,-2280,-9.120000000011146,20481,81.92400000010012,-9.120000000011146,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x21d5fcd60>, <matplotlib.lines.Line2D object at 0x21d5fcca0>)"
VN210,0.08387753612429383,0.10296002081408605,-2629,-10.516000000012852,20481,81.92400000010012,-10.516000000012852,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x21fbf8a90>, <matplotlib.lines.Line2D object at 0x21fbf89d0>)"
VN208,0.007059181234609532,0.46410874400002944,-253,-1.0120000000012368,20481,81.92400000010012,-1.0120000000012368,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x222078760>, <matplotlib.lines.Line2D object at 0x2220786a0>)"
LS403,0.05376573757357076,0.289489422859974,1090,4.3600000000053285,20481,81.92400000010012,4.3600000000053285,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2245b9280>, <matplotlib.lines.Line2D object at 0x2245b91c0>)"
BR605,0.047891305699086034,0.2775466636653638,-31,-0.12400000000015154,20481,81.92400000010012,-0.12400000000015154,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x226a705e0>, <matplotlib.lines.Line2D object at 0x226a70520>)"
VN207,0.0807656841761662,0.21747286738233781,-103,-0.4120000000005035,20481,81.92400000010012,-0.4120000000005035,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x22926caf0>, <matplotlib.lines.Line2D object at 0x22926ca30>)"
WW503,0.06648443011258497,0.15589203088602352,1320,5.280000000006453,20481,81.92400000010012,5.280000000006453,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x22b764f70>, <matplotlib.lines.Line2D object at 0x22b764eb0>)"
VN201,0.007853860755762646,0.39685404523958623,-341,-1.364000000001667,20481,81.92400000010012,-1.364000000001667,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x22dcef3a0>, <matplotlib.lines.Line2D object at 0x22dcef2e0>)"
LS402,0.026392388374309655,0.5627400553942266,-102,-0.40800000000049863,20481,81.92400000010012,-0.40800000000049863,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2301a0e80>, <matplotlib.lines.Line2D object at 0x2301a0dc0>)"
LS408,0.07053077813877773,0.5404108344488372,-23,-0.09200000000011244,20481,81.92400000010012,-0.09200000000011244,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2327eb2b0>, <matplotlib.lines.Line2D object at 0x2327eb1f0>)"
WW505,0.13146070308433694,0.32699809211581654,-373,-1.4920000000018234,20481,81.92400000010012,-1.4920000000018234,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x234e25730>, <matplotlib.lines.Line2D object at 0x234e25670>)"
LS404,0.07106662857475024,0.14097547629853185,-4557,-18.228000000022277,20481,81.92400000010012,-18.228000000022277,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2375208b0>, <matplotlib.lines.Line2D object at 0x2375207f0>)"
VA307,0.009829456058360126,0.35805121687025,-26,-0.1040000000001271,20481,81.92400000010012,-0.1040000000001271,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2399de8b0>, <matplotlib.lines.Line2D object at 0x2399de7f0>)"
BR604,0.023344666897035057,0.579092527477369,-372,-1.4880000000018185,20481,81.92400000010012,-1.4880000000018185,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x23bfa82b0>, <matplotlib.lines.Line2D object at 0x23bfa81f0>)"
VA302,0.009655535876486755,0.5397776783407011,-239,-0.9560000000011684,20481,81.92400000010012,-0.9560000000011684,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x23e5224c0>, <matplotlib.lines.Line2D object at 0x23e522400>)"
PC704,0.01025819628627909,0.4618763791487124,-426,-1.7040000000020825,20481,81.92400000010012,-1.7040000000020825,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x240ad2f10>, <matplotlib.lines.Line2D object at 0x240ad2e50>)"
LS401,0.014172064049488493,0.31806922105146074,-722,-2.8880000000035295,20481,81.92400000010012,-2.8880000000035295,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2430d3a30>, <matplotlib.lines.Line2D object at 0x2430d3970>)"
VA304,0.0060594850909278354,0.5752654597023881,-328,-1.3120000000016034,20481,81.92400000010012,-1.3120000000016034,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x245790880>, <matplotlib.lines.Line2D object at 0x2457907c0>)"
BR601,0.26459613331711745,0.4175323855592392,-189,-0.7560000000009239,20481,81.92400000010012,-0.7560000000009239,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x247cccbb0>, <matplotlib.lines.Line2D object at 0x247cccaf0>)"
VN103,0.010652669232575252,0.4670768200873172,-106,-0.4240000000005182,20481,81.92400000010012,-0.4240000000005182,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x24a2d6070>, <matplotlib.lines.Line2D object at 0x24a2c6f70>)"
LS407,0.04409433063679647,0.44572060197054064,249,0.9960000000012172,20481,81.92400000010012,0.9960000000012172,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x24fc934f0>, <matplotlib.lines.Line2D object at 0x24fc93430>)"
