,Signal,DevName,ID,Date,Session,FileName,FileType,FileSize,RecStart,RecEnd,Duration,FullLoc
0,ECG,577,PC706,2023-02-15 10:58:31,RD,ECG-PC706-577-230215105831.csv,csv,63427634,2023-02-15 10:58:31.276000+00:00,2023-02-15 11:54:20+00:00,3348.724,../Data/Movesense/EqForm_new/ECG-PC706-577-230215105831.csv
1,RR,577,PC706,2023-02-15 10:58:31,RD,RR-PC706-577-230215105831.csv,csv,128112,2023-02-15 11:06:43.782000+00:00,2023-02-15 11:54:18.828000+00:00,2855.046,../Data/Movesense/EqForm_new/RR-PC706-577-230215105831.csv
2,FASTACC,577,PC706,2023-02-15 10:58:31,RD,FASTACC-PC706-577-230215105831.csv,csv,61797344,2023-02-15 10:58:31.365000+00:00,2023-02-15 11:54:20+00:00,3348.635,../Data/Movesense/EqForm_new/FASTACC-PC706-577-230215105831.csv
3,ECG,587,PC706,2023-02-16 07:42:49,C1,ECG-PC706-587-230216074249.csv,csv,95768710,2023-02-16 07:42:49.178000+00:00,2023-02-16 09:07:12+00:00,5062.822,../Data/Movesense/EqForm_new/ECG-PC706-587-230216074249.csv
4,RR,587,PC706,2023-02-16 07:42:49,C1,RR-PC706-587-230216074249.csv,csv,233767,2023-02-16 07:56:09.430000+00:00,2023-02-16 09:07:10.964000+00:00,4261.534,../Data/Movesense/EqForm_new/RR-PC706-587-230216074249.csv
5,FASTACC,587,PC706,2023-02-16 07:42:49,C1,FASTACC-PC706-587-230216074249.csv,csv,93032955,2023-02-16 07:42:49.158000+00:00,2023-02-16 09:07:12+00:00,5062.842,../Data/Movesense/EqForm_new/FASTACC-PC706-587-230216074249.csv
6,FASTACC,596,PC708,2023-02-16 07:52:46,C1,FASTACC-PC708-596-230216075246.csv,csv,93130993,2023-02-16 07:52:46.072000+00:00,2023-02-16 09:15:46+00:00,4979.928,../Data/Movesense/EqForm_new/FASTACC-PC708-596-230216075246.csv
7,RR,596,PC708,2023-02-16 07:52:46,C1,RR-PC708-596-230216075246.csv,csv,291201,2023-02-16 07:58:06.380000+00:00,2023-02-16 09:15:45.108000+00:00,4658.728,../Data/Movesense/EqForm_new/RR-PC708-596-230216075246.csv
8,ECG,596,PC708,2023-02-16 07:52:46,C1,ECG-PC708-596-230216075246.csv,csv,94317106,2023-02-16 07:52:46.050000+00:00,2023-02-16 09:15:46+00:00,4979.95,../Data/Movesense/EqForm_new/ECG-PC708-596-230216075246.csv
9,FASTACC,596,PC708,2023-02-16 09:33:34,C2,FASTACC-PC708-596-230216093334.csv,csv,90450677,2023-02-16 09:33:34.998000+00:00,2023-02-16 10:54:28+00:00,4853.002,../Data/Movesense/EqForm_new/FASTACC-PC708-596-230216093334.csv
10,ECG,596,PC708,2023-02-16 09:33:35,C2,ECG-PC708-596-230216093335.csv,csv,91535503,2023-02-16 09:33:35.215000+00:00,2023-02-16 10:54:28+00:00,4852.785,../Data/Movesense/EqForm_new/ECG-PC708-596-230216093335.csv
11,RR,596,PC708,2023-02-16 09:33:35,C2,RR-PC708-596-230216093335.csv,csv,267876,2023-02-16 09:33:43.665000+00:00,2023-02-16 10:54:26.796000+00:00,4843.131,../Data/Movesense/EqForm_new/RR-PC708-596-230216093335.csv
12,FASTACC,620,PC708,2023-02-17 07:45:33,C3,FASTACC-PC708-620-230217074533.csv,csv,61863380,2023-02-17 07:45:33.388000+00:00,2023-02-17 08:40:37+00:00,3303.612,../Data/Movesense/EqForm_new/FASTACC-PC708-620-230217074533.csv
13,ECG,620,PC708,2023-02-17 07:45:33,C3,ECG-PC708-620-230217074533.csv,csv,62689665,2023-02-17 07:45:33.289000+00:00,2023-02-17 08:40:37+00:00,3303.711,../Data/Movesense/EqForm_new/ECG-PC708-620-230217074533.csv
14,RR,620,PC708,2023-02-17 07:45:33,C3,RR-PC708-620-230217074533.csv,csv,183821,2023-02-17 07:49:53.843000+00:00,2023-02-17 08:40:36.148000+00:00,3042.305,../Data/Movesense/EqForm_new/RR-PC708-620-230217074533.csv
15,RR,537,PC706,2023-02-17 07:59:13,C3,RR-PC706-537-230217075913.csv,csv,569600,2023-02-17 08:07:54.210000+00:00,2023-02-17 11:22:34.184000+00:00,11679.974,../Data/Movesense/EqForm_new/RR-PC706-537-230217075913.csv
16,FASTACC,537,PC706,2023-02-17 07:59:13,C3,FASTACC-PC706-537-230217075913.csv,csv,179820869,2023-02-17 07:59:13.646000+00:00,2023-02-17 13:16:18+00:00,19024.354,../Data/Movesense/EqForm_new/FASTACC-PC706-537-230217075913.csv
17,ECG,537,PC706,2023-02-17 07:59:13,C3,ECG-PC706-537-230217075913.csv,csv,360399723,2023-02-17 07:59:13.462000+00:00,2023-02-17 13:16:18+00:00,19024.538,../Data/Movesense/EqForm_new/ECG-PC706-537-230217075913.csv
15,RR,537,PC706,2023-02-17 07:59:13,C4,RR-PC706-537-230217075913.csv,csv,569600,2023-02-17 08:07:54.210000+00:00,2023-02-17 11:22:34.184000+00:00,11679.974,../Data/Movesense/EqForm_new/RR-PC706-537-230217075913.csv
16,FASTACC,537,PC706,2023-02-17 07:59:13,C4,FASTACC-PC706-537-230217075913.csv,csv,179820869,2023-02-17 07:59:13.646000+00:00,2023-02-17 13:16:18+00:00,19024.354,../Data/Movesense/EqForm_new/FASTACC-PC706-537-230217075913.csv
17,ECG,537,PC706,2023-02-17 07:59:13,C4,ECG-PC706-537-230217075913.csv,csv,360399723,2023-02-17 07:59:13.462000+00:00,2023-02-17 13:16:18+00:00,19024.538,../Data/Movesense/EqForm_new/ECG-PC706-537-230217075913.csv
18,FASTACC,620,PC708,2023-02-17 09:25:59,C4,FASTACC-PC708-620-230217092559.csv,csv,101017707,2023-02-17 09:25:59.624000+00:00,2023-02-17 10:55:48+00:00,5388.376,../Data/Movesense/EqForm_new/FASTACC-PC708-620-230217092559.csv
19,ECG,620,PC708,2023-02-17 09:25:59,C4,ECG-PC708-620-230217092559.csv,csv,101722495,2023-02-17 09:25:59.619000+00:00,2023-02-17 10:55:48+00:00,5388.381,../Data/Movesense/EqForm_new/ECG-PC708-620-230217092559.csv
20,RR,620,PC708,2023-02-17 09:25:59,C4,RR-PC708-620-230217092559.csv,csv,276479,2023-02-17 09:26:03.813000+00:00,2023-02-17 10:55:47.136000+00:00,5383.323,../Data/Movesense/EqForm_new/RR-PC708-620-230217092559.csv
21,FASTACC,510,PC708,2023-02-18 14:11:20,C5,FASTACC-PC708-510-230218141120.csv,csv,78057581,2023-02-18 14:11:20.922000+00:00,2023-02-18 15:20:58+00:00,4177.078,../Data/Movesense/EqForm_new/FASTACC-PC708-510-230218141120.csv
22,RR,510,PC708,2023-02-18 14:11:21,C5,RR-PC708-510-230218141121.csv,csv,242114,2023-02-18 14:16:51.580000+00:00,2023-02-18 15:20:57.124000+00:00,3845.544,../Data/Movesense/EqForm_new/RR-PC708-510-230218141121.csv
23,ECG,510,PC708,2023-02-18 14:11:21,C5,ECG-PC708-510-230218141121.csv,csv,79134806,2023-02-18 14:11:21.080000+00:00,2023-02-18 15:20:58+00:00,4176.92,../Data/Movesense/EqForm_new/ECG-PC708-510-230218141121.csv
