,Signal,DevName,ID,Date,Session,FileName,FileType,FileSize,RecStart,RecEnd,Duration,FullLoc
0,ECG,585,PC708,2023-02-14 09:07:04,,ECG-PC708-585-230214090704.csv,csv,94791131,2023-02-14 09:07:04.955000+00:00,2023-02-14 10:30:23+00:00,4998.045,../Data/Movesense/EqForm_new/ECG-PC708-585-230214090704.csv
1,FASTACC,585,PC708,2023-02-14 09:07:04,,FASTACC-PC708-585-230214090704.csv,csv,93064479,2023-02-14 09:07:04.966000+00:00,2023-02-14 10:30:23+00:00,4998.034,../Data/Movesense/EqForm_new/FASTACC-PC708-585-230214090704.csv
2,ECG,545,PC708,2023-02-15 08:41:08,,ECG-PC708-545-230215084108.csv,csv,93728939,2023-02-15 08:41:08.233000+00:00,2023-02-15 10:03:40+00:00,4951.767,../Data/Movesense/EqForm_new/ECG-PC708-545-230215084108.csv
3,FASTACC,545,PC708,2023-02-15 08:41:08,,FASTACC-PC708-545-230215084108.csv,csv,93000321,2023-02-15 08:41:08.037000+00:00,2023-02-15 10:03:40+00:00,4951.963,../Data/Movesense/EqForm_new/FASTACC-PC708-545-230215084108.csv
4,ECG,577,PC706,2023-02-15 10:58:31,,ECG-PC706-577-230215105831.csv,csv,63427634,2023-02-15 10:58:31.276000+00:00,2023-02-15 11:54:20+00:00,3348.724,../Data/Movesense/EqForm_new/ECG-PC706-577-230215105831.csv
5,FASTACC,577,PC706,2023-02-15 10:58:31,,FASTACC-PC706-577-230215105831.csv,csv,61797344,2023-02-15 10:58:31.365000+00:00,2023-02-15 11:54:20+00:00,3348.635,../Data/Movesense/EqForm_new/FASTACC-PC706-577-230215105831.csv
6,ECG,587,PC706,2023-02-16 07:42:49,,ECG-PC706-587-230216074249.csv,csv,95768710,2023-02-16 07:42:49.178000+00:00,2023-02-16 09:07:12+00:00,5062.822,../Data/Movesense/EqForm_new/ECG-PC706-587-230216074249.csv
7,FASTACC,587,PC706,2023-02-16 07:42:49,,FASTACC-PC706-587-230216074249.csv,csv,93032955,2023-02-16 07:42:49.158000+00:00,2023-02-16 09:07:12+00:00,5062.842,../Data/Movesense/EqForm_new/FASTACC-PC706-587-230216074249.csv
8,ECG,596,PC708,2023-02-16 07:52:46,,ECG-PC708-596-230216075246.csv,csv,94317106,2023-02-16 07:52:46.050000+00:00,2023-02-16 09:15:46+00:00,4979.95,../Data/Movesense/EqForm_new/ECG-PC708-596-230216075246.csv
9,FASTACC,596,PC708,2023-02-16 07:52:46,,FASTACC-PC708-596-230216075246.csv,csv,93130993,2023-02-16 07:52:46.072000+00:00,2023-02-16 09:15:46+00:00,4979.928,../Data/Movesense/EqForm_new/FASTACC-PC708-596-230216075246.csv
10,FASTACC,596,PC708,2023-02-16 09:33:34,,FASTACC-PC708-596-230216093334.csv,csv,90450677,2023-02-16 09:33:34.998000+00:00,2023-02-16 10:54:28+00:00,4853.002,../Data/Movesense/EqForm_new/FASTACC-PC708-596-230216093334.csv
11,ECG,596,PC708,2023-02-16 09:33:35,,ECG-PC708-596-230216093335.csv,csv,91535503,2023-02-16 09:33:35.215000+00:00,2023-02-16 10:54:28+00:00,4852.785,../Data/Movesense/EqForm_new/ECG-PC708-596-230216093335.csv
12,ECG,620,PC708,2023-02-17 07:45:33,,ECG-PC708-620-230217074533.csv,csv,62689665,2023-02-17 07:45:33.289000+00:00,2023-02-17 08:40:37+00:00,3303.711,../Data/Movesense/EqForm_new/ECG-PC708-620-230217074533.csv
13,FASTACC,620,PC708,2023-02-17 07:45:33,,FASTACC-PC708-620-230217074533.csv,csv,61863380,2023-02-17 07:45:33.388000+00:00,2023-02-17 08:40:37+00:00,3303.612,../Data/Movesense/EqForm_new/FASTACC-PC708-620-230217074533.csv
14,ECG,537,PC706,2023-02-17 07:59:13,,ECG-PC706-537-230217075913.csv,csv,360399723,2023-02-17 07:59:13.462000+00:00,2023-02-17 13:16:18+00:00,19024.538,../Data/Movesense/EqForm_new/ECG-PC706-537-230217075913.csv
15,FASTACC,537,PC706,2023-02-17 07:59:13,,FASTACC-PC706-537-230217075913.csv,csv,179820869,2023-02-17 07:59:13.646000+00:00,2023-02-17 13:16:18+00:00,19024.354,../Data/Movesense/EqForm_new/FASTACC-PC706-537-230217075913.csv
16,ECG,620,PC708,2023-02-17 09:25:59,,ECG-PC708-620-230217092559.csv,csv,101722495,2023-02-17 09:25:59.619000+00:00,2023-02-17 10:55:48+00:00,5388.381,../Data/Movesense/EqForm_new/ECG-PC708-620-230217092559.csv
17,FASTACC,620,PC708,2023-02-17 09:25:59,,FASTACC-PC708-620-230217092559.csv,csv,101017707,2023-02-17 09:25:59.624000+00:00,2023-02-17 10:55:48+00:00,5388.376,../Data/Movesense/EqForm_new/FASTACC-PC708-620-230217092559.csv
18,FASTACC,510,PC708,2023-02-18 14:11:20,,FASTACC-PC708-510-230218141120.csv,csv,78057581,2023-02-18 14:11:20.922000+00:00,2023-02-18 15:20:58+00:00,4177.078,../Data/Movesense/EqForm_new/FASTACC-PC708-510-230218141120.csv
19,ECG,510,PC708,2023-02-18 14:11:21,,ECG-PC708-510-230218141121.csv,csv,79134806,2023-02-18 14:11:21.080000+00:00,2023-02-18 15:20:58+00:00,4176.92,../Data/Movesense/EqForm_new/ECG-PC708-510-230218141121.csv
